count,noindex,index
1,426.25,0.0187
2,888.77,0.0195
3,956.50,0.0198
4,1708.44,0.0242
5,2047.45,0.0193
6,2870.76,0.0224
7,2741.18,0.0185
8,3390.63,0.023
9,3454.12,0.0222
10,3992.22,0.0224
11,4675.21,0.0226
12,4977.21,0.0211
13,5335.59,0.0198
14,5512.67,0.0228
15,5687.85,0.0210
16,6087.43,0.0238
17,6448.78,0.02325
18,6963.42,0.02405
19,7368.01,0.02289
20,8036.50,0.02094
21,8089.16,0.02305
22,8456.76,0.02438
23,8873.96,0.02347
24,9346.40,0.02468
25,9749.55,0.02131
26,9936.93,0.02415
27,10656.95,0.0212
28,10820.07,0.0243
29,11524.03,0.0244
30,11727.01,0.02435
31,10028.30,0.02152
32,9821.680,0.02583
33,10638.64,0.02517
34,10912.51,0.02741
35,12172.46,0.02594
36,12485.08,0.02044
37,12136.72,0.02384
38,12458.95,0.02326
39,12664.65,0.0264
40,12969.25,0.02489
41,13266.88,0.02573
42,13634.84,0.02257
43,14739.36,0.02121
44,14504.44,0.022
45,14846.30,0.02416
46,15105.71,0.02283
47,15374.94,0.02488
48,16100.35,0.01988
49,16126.74,0.0239
50,16285.95,0.02338
51,16631.80,0.02305
52,17626.76,0.03115
53,17331.28,0.02526
54,17737.86,0.02547
55,18759.20,0.02235
56,18355.43,0.03511
57,18801.78,0.02785
58,19871.14,0.03085
59,19505.06,0.02405
60,19928.27,0.02435
61,21045.47,0.02844
62,20477.93,0.02664
63,21429.82,0.02488
64,20866.70,0.02885
65,21336.81,0.02442
66,22350.82,0.02411
67,22317.19,0.02478
68,23173.52,0.02633
69,22710.65,0.02872
70,23591.07,0.02665
71,23557.69,0.02711
72,24039.14,0.02068
73,25028.11,0.02422
74,24968.60,0.02589
75,25509.29,0.02505
76,24969.96,0.0253
77,24464.25,0.0255
78,25936.93,0.02525
79,26181.14,0.02811
80,25621.04,0.020375
